,Geol,Dol_den,Lin_order1,Lin_order2,RTP,BGA,eK,eU,eTh,ZR,BA,RB,NB,CE,TH,U,TREE,MGO,CAO,K2O,SIO2,Label
344,6.0,1.9470375776290894,6000.0,2828.427001953125,223.0,111.0,3.2334392070770264,1.6656765937805176,18.989850997924805,486.8623352050781,748.449462890625,151.00082397460938,16.018033981323242,49.792076110839844,37.41084289550781,3.9910807609558105,138.47560119628906,1.1927562952041626,1.8127174377441406,3.5476598739624023,67.46907806396484,0
345,3.0,0.0,4000.0,10198.0390625,47.0,211.0,2.2696588039398193,1.6492280960083008,8.17708969116211,327.39801025390625,481.0435485839844,74.61631774902344,11.650115966796875,61.602516174316406,8.832332611083984,2.263157606124878,169.3265380859375,1.7370965480804443,3.7157974243164062,1.6834745407104492,59.454437255859375,0
346,5.0,0.6283487677574158,2828.427001953125,4472.13623046875,255.0,79.0,2.4857232570648193,2.900019645690918,16.945423126220703,363.58648681640625,612.3435668945312,120.01235961914062,7.298219680786133,75.69499206542969,13.464804649353027,5.712333679199219,234.51959228515625,1.0459930896759033,2.1885223388671875,2.8919906616210938,62.92289352416992,0
347,2.0,0.0,10000.0,0.0,239.0,251.0,1.4510703086853027,1.211487889289856,6.7439374923706055,640.1027221679688,620.7183837890625,60.961326599121094,12.43065357208252,73.22543334960938,13.066939353942871,2.171712875366211,212.27880859375,3.1849024295806885,2.5233559608459473,0.9648393988609314,59.84623718261719,0
348,1.0,0.0,29120.439453125,2828.427001953125,255.0,255.0,1.9435234478688592,2.3854402118348723,14.44468052611856,1003.40576171875,651.7559814453125,142.73654174804688,16.848979949951172,124.19892120361328,35.97660827636719,5.1527628898620605,340.41851806640625,1.1460351943969727,1.7043030261993408,3.116569995880127,61.031883239746094,0
349,2.0,0.0,2828.427001953125,0.0,235.0,159.0,0.684561550617218,1.2295981645584106,3.1908679008483887,779.2039184570312,591.3731079101562,64.45942687988281,13.758805274963379,64.16890716552734,12.190077781677246,2.7350499629974365,189.5390167236328,4.154123783111572,1.7699226140975952,0.9098541736602783,60.4000358581543,0
350,2.0,101.83446502685547,2828.427001953125,0.0,63.0,235.0,2.2533118724823,2.9283628463745117,19.163286209106445,1007.7288208007812,724.7017822265625,95.7885971069336,14.600268363952637,80.38043975830078,21.99308204650879,4.471083164215088,225.09437561035156,2.8183963298797607,1.6441935300827026,0.944839358329773,60.635597229003906,0
351,5.0,0.0,7211.1025390625,4472.13623046875,239.0,31.0,0.6648646593093872,1.3623003959655762,7.319562911987305,242.36386108398438,408.83203125,81.32106018066406,9.403055191040039,52.74444580078125,9.931173324584961,2.6685163974761963,148.38047790527344,2.1249401569366455,5.5471577644348145,1.7850674390792847,55.160118103027344,0
352,2.0,0.0,7211.1025390625,0.0,167.0,203.0,1.818156123161316,1.9992883205413818,8.89422607421875,824.3143310546875,623.434326171875,85.68630981445312,14.258466720581055,96.04639434814453,18.215988159179688,3.535386323928833,296.32220458984375,2.7975850105285645,1.8393020629882812,0.8748117089271545,61.69233322143555,0
353,2.0,0.0,2000.0,0.0,199.0,151.0,1.5862714052200317,2.1905713081359863,15.597102165222168,712.2581176757812,579.113525390625,82.66463470458984,10.995832443237305,94.60643768310547,18.63351821899414,4.12021541595459,273.6235046386719,3.1761269569396973,1.9482814073562622,0.9992883801460266,62.98382568359375,0
354,6.0,0.0,4472.13623046875,2000.0,223.0,191.0,3.152200222015381,2.5829341411590576,20.700847625732422,430.7737731933594,451.7894287109375,52.8142204284668,16.396610260009766,79.7165298461914,11.34709358215332,3.044768810272217,211.99269104003906,2.0929839611053467,6.717700004577637,1.6973345279693604,53.2972297668457,0
355,5.0,0.0,14142.1357421875,13416.4072265625,219.0,183.0,0.8749605417251587,2.1102089881896973,8.485700607299805,345.1275634765625,449.7769775390625,66.337890625,13.237571716308594,65.58511352539062,9.87359619140625,3.415581226348877,182.08937072753906,2.2509944438934326,5.839078426361084,1.5363209247589111,57.73183822631836,0
356,2.0,0.0,18000.0,7211.1025390625,159.0,167.0,1.7228831052780151,2.2520341873168945,7.186122894287109,326.2541198730469,454.4076843261719,102.42913055419922,10.928857803344727,44.023406982421875,7.900052547454834,2.3982434272766113,138.01263427734375,1.1045137643814087,1.8407502174377441,2.7221529483795166,66.06664276123047,0
357,2.0,23.646995544433594,15620.5,2000.0,175.0,143.0,2.3961899280548096,2.728592872619629,9.28664493560791,719.6384887695312,440.3217468261719,113.97298431396484,10.770811080932617,59.00022888183594,13.704364776611328,4.95609712600708,173.7061309814453,0.776681125164032,2.1297101974487305,2.8428189754486084,61.569374084472656,0
358,5.0,0.0,4472.13623046875,2000.0,207.0,111.0,0.32009631395339966,2.1377298831939697,3.3122124671936035,492.7855529785156,431.3710021972656,165.76927185058594,16.35121726989746,55.74531173706055,41.082252502441406,4.56699800491333,159.47689819335938,0.7883806824684143,1.8289000988006592,3.5399014949798584,71.22671508789062,0
359,2.0,0.0,10000.0,8000.0,151.0,199.0,0.41173863410949707,0.904766321182251,3.361546039581299,318.4117736816406,366.2520446777344,22.651519775390625,11.643912315368652,40.59333419799805,7.350643634796143,2.6221370697021484,115.52925872802734,1.771788239479065,6.329621315002441,1.1401573419570923,60.802616119384766,0
360,5.0,0.0,4472.13623046875,0.0,127.0,79.0,0.7110460996627808,2.495748996734619,10.522795677185059,343.2699890136719,495.3140563964844,68.4079818725586,11.83162784576416,58.74101257324219,9.62110424041748,1.7441015243530273,159.93605041503906,2.3284738063812256,5.562297821044922,1.1307562589645386,62.6673583984375,0
361,2.0,0.0,0.0,2000.0,175.0,167.0,0.4628361463546753,2.2558341026306152,9.44272518157959,608.3424072265625,518.8055419921875,61.882965087890625,10.871134757995605,79.68867492675781,14.398386001586914,3.1236960887908936,228.75210571289062,4.55198860168457,2.3907277584075928,1.0436283349990845,61.29535675048828,0
362,2.0,0.0,2828.427001953125,4000.0,111.0,223.0,0.26025494933128357,1.4391472339630127,8.821993827819824,353.4852294921875,389.0518798828125,33.12685775756836,13.595184326171875,57.253692626953125,9.129070281982422,2.270246982574463,157.50616455078125,2.142180919647217,6.029906749725342,1.0697168111801147,57.31259536743164,0
363,2.0,0.0,10770.3291015625,5656.85400390625,151.0,255.0,0.633080005645752,0.5644997358322144,3.931570529937744,485.486328125,303.355224609375,67.72977447509766,14.682368278503418,41.82642364501953,6.681846618652344,1.5956861972808838,123.72427368164062,1.4302324056625366,1.926077961921692,1.544255018234253,63.79808807373047,0
