,Geol,Dol_den,Lin_order1,Lin_order2,RTP,BGA,eK,eU,eTh,ZR,BA,RB,NB,CE,TH,U,TREE,MGO,CAO,K2O,SIO2,Label,CLUSTER_ID
95,5.0,93.28926086425781,2000.0,0.0,231.0,111.0,2.76747465133667,2.5669801235198975,18.57647132873535,974.1583862304688,518.0983276367188,86.05907440185547,24.04897689819336,84.78308868408203,18.68470001220703,3.930267572402954,286.6541748046875,5.202511310577393,2.372562885284424,0.7099934220314026,57.56890106201172,1,7
96,5.0,93.28926086425781,2000.0,0.0,231.0,111.0,2.76747465133667,2.5669801235198975,18.57647132873535,974.1583862304688,518.0983276367188,86.05907440185547,24.04897689819336,84.78308868408203,18.68470001220703,3.930267572402954,286.6541748046875,5.202511310577393,2.372562885284424,0.7099934220314026,57.56890106201172,1,7
97,2.0,17.13087272644043,7211.1025390625,0.0,183.0,231.0,2.159196376800537,2.480776309967041,14.339792251586914,958.8331909179688,707.943115234375,112.9328842163086,17.96966552734375,91.22464752197266,24.485990524291992,4.442930698394775,257.6128845214844,2.8399510383605957,1.8758258819580078,1.006147861480713,58.93919372558594,1,7
98,2.0,60.53737258911133,5656.85400390625,2000.0,203.0,231.0,2.3175048828125,3.1052677631378174,19.228473663330078,1070.9075927734375,701.8489379882812,112.00074768066406,17.249650955200195,93.8209228515625,23.110158920288086,5.088405609130859,261.61767578125,2.5627918243408203,1.7088267803192139,0.9128742218017578,59.40414810180664,1,7
99,2.0,60.53737258911133,5656.85400390625,2000.0,203.0,231.0,2.3175048828125,3.1052677631378174,19.228473663330078,1070.9075927734375,701.8489379882812,112.00074768066406,17.249650955200195,93.8209228515625,23.110158920288086,5.088405609130859,261.61767578125,2.5627918243408203,1.7088267803192139,0.9128742218017578,59.40414810180664,1,7
100,2.0,19.25986671447754,5656.85400390625,12000.0,143.0,47.0,1.0598318576812744,2.6555655002593994,9.942380905151367,406.7893981933594,418.94586181640625,97.66349792480469,12.826435089111328,61.12820816040039,10.743032455444336,3.0991058349609375,186.00076293945312,1.2942531108856201,2.1677303314208984,2.4283225536346436,63.392425537109375,1,5
101,1.0,0.0,7211.1025390625,2828.427001953125,79.0,195.0,1.8036847114562988,2.599482774734497,21.737205505371094,645.3596801757812,582.6094970703125,78.40474700927734,11.22801399230957,132.0956268310547,20.050783157348633,3.792208671569824,368.0542297363281,1.8636640310287476,2.513231039047241,2.160216808319092,65.12518310546875,1,4
102,1.0,0.0,7211.1025390625,2828.427001953125,79.0,195.0,1.8036847114562988,2.599482774734497,21.737205505371094,645.3596801757812,582.6094970703125,78.40474700927734,11.22801399230957,132.0956268310547,20.050783157348633,3.792208671569824,368.0542297363281,1.8636640310287476,2.513231039047241,2.160216808319092,65.12518310546875,1,4
103,5.0,0.0,13416.4072265625,2000.0,183.0,203.0,3.62892746925354,4.438259601593018,46.861732482910156,618.60986328125,540.4151611328125,108.25657653808594,12.912388801574707,92.46620178222656,29.779518127441406,4.3522114753723145,249.4637451171875,1.4143645763397217,2.959925889968872,3.3335745334625244,62.5161018371582,1,4
104,5.0,0.0,11661.9033203125,0.0,195.0,199.0,2.7946038246154785,3.5622060298919678,25.17753028869629,637.7777709960938,523.9564819335938,110.03181457519531,12.785845756530762,90.5459976196289,33.30788040161133,5.169870376586914,248.84422302246094,1.3351190090179443,2.6749229431152344,3.366727113723755,62.6882438659668,1,4
105,1.0,0.0,5656.85400390625,2000.0,79.0,203.0,2.0774261951446533,3.1103475093841553,37.98638916015625,733.7794189453125,635.1408081054688,86.51461029052734,11.603767395019531,160.09547424316406,26.929418563842773,4.628868103027344,443.286376953125,1.8088799715042114,2.3002305030822754,2.241201639175415,64.84265899658203,1,4
106,1.0,0.0,7211.1025390625,2828.427001953125,79.0,195.0,1.8036847114562988,2.599482774734497,21.737205505371094,645.3596801757812,582.6094970703125,78.40474700927734,11.22801399230957,132.0956268310547,20.050783157348633,3.792208671569824,368.0542297363281,1.8636640310287476,2.513231039047241,2.160216808319092,65.12518310546875,1,4
107,6.0,25.342844009399414,5656.85400390625,2000.0,103.0,207.0,2.789951801300049,2.8662595748901367,16.095035552978516,785.6715087890625,880.054443359375,121.91166687011719,20.094818115234375,131.14682006835938,20.141157150268555,4.692751407623291,360.8238830566406,2.4257569313049316,1.4706097841262817,0.859085738658905,58.32391357421875,1,7
108,6.0,25.342844009399414,5656.85400390625,2000.0,103.0,207.0,2.789951801300049,2.8662595748901367,16.095035552978516,785.6715087890625,880.054443359375,121.91166687011719,20.094818115234375,131.14682006835938,20.141157150268555,4.692751407623291,360.8238830566406,2.4257569313049316,1.4706097841262817,0.859085738658905,58.32391357421875,1,7
109,2.0,27.514572143554688,6324.55517578125,10198.0390625,195.0,31.0,2.011274814605713,2.7348580360412598,7.235042095184326,431.6483459472656,418.0744323730469,103.62593078613281,12.286208152770996,65.89839172363281,10.099517822265625,3.501328706741333,199.4271697998047,1.2934908866882324,2.215885877609253,2.622121572494507,63.84765625,1,5
110,2.0,13.938867568969727,4472.13623046875,10000.0,183.0,63.0,1.9467617273330688,2.189913272857666,9.014546394348145,377.03216552734375,425.15313720703125,104.55170440673828,12.31756591796875,66.25862884521484,10.619757652282715,3.361402750015259,200.05259704589844,1.3101305961608887,2.231205701828003,2.572307825088501,63.02885055541992,1,5
111,2.0,4.449055194854736,5656.85400390625,0.0,183.0,167.0,2.6868903636932373,2.2345519065856934,19.1968936920166,768.9403686523438,525.7667236328125,73.2625961303711,13.28993034362793,82.0212173461914,16.266571044921875,3.522132396697998,231.8472137451172,3.6062376499176025,2.0480709075927734,0.9978446364402771,60.02614974975586,1,7
112,2.0,0.0,2828.427001953125,2000.0,159.0,111.0,0.45554450154304504,1.266840934753418,8.193601608276367,612.2110595703125,485.8775634765625,60.76416778564453,14.40332317352295,72.21051788330078,12.745570182800293,2.307826280593872,202.18553161621094,3.920811891555786,2.6613149642944336,1.1361939907073975,60.49583435058594,1,7
